# R [Å] 	 single electron WF 	 density 	 V [a.u.]
1.28953e+01	3.72663e-06	2.77755e-11	-2.33376e-05
1.29076e+01	3.67780e-06	2.70525e-11	-2.31186e-05
1.29200e+01	3.62962e-06	2.63482e-11	-2.29016e-05
1.29323e+01	3.58206e-06	2.56623e-11	-2.26867e-05
1.29447e+01	3.53513e-06	2.49943e-11	-2.24738e-05
1.29570e+01	3.48881e-06	2.43436e-11	-2.22629e-05
1.29694e+01	3.44310e-06	2.37099e-11	-2.20540e-05
1.29817e+01	3.39799e-06	2.30926e-11	-2.18471e-05
1.29941e+01	3.35347e-06	2.24915e-11	-2.16421e-05
1.30064e+01	3.30953e-06	2.19060e-11	-2.14391e-05
1.30188e+01	3.26617e-06	2.13357e-11	-2.12380e-05
1.30311e+01	3.22337e-06	2.07803e-11	-2.10388e-05
1.30435e+01	3.18114e-06	2.02393e-11	-2.08415e-05
1.30558e+01	3.13946e-06	1.97124e-11	-2.06460e-05
1.30682e+01	3.09833e-06	1.91993e-11	-2.04524e-05
1.30805e+01	3.05773e-06	1.86994e-11	-2.02606e-05
1.30929e+01	3.01767e-06	1.82127e-11	-2.00706e-05
1.31052e+01	2.97813e-06	1.77385e-11	-1.98824e-05
1.31176e+01	2.93911e-06	1.72767e-11	-1.96960e-05
1.31299e+01	2.90060e-06	1.68270e-11	-1.95113e-05
1.31423e+01	2.86260e-06	1.63889e-11	-1.93284e-05
1.31546e+01	2.82509e-06	1.59623e-11	-1.91472e-05
1.31670e+01	2.78808e-06	1.55467e-11	-1.89678e-05
1.31793e+01	2.75155e-06	1.51420e-11	-1.87900e-05
1.31917e+01	2.71550e-06	1.47478e-11	-1.86139e-05
1.32041e+01	2.67992e-06	1.43639e-11	-1.84394e-05
1.32164e+01	2.64480e-06	1.39900e-11	-1.82666e-05
1.32288e+01	2.61015e-06	1.36258e-11	-1.80955e-05
1.32411e+01	2.57595e-06	1.32711e-11	-1.79259e-05
1.32535e+01	2.54220e-06	1.29256e-11	-1.77580e-05
1.32658e+01	2.50889e-06	1.25891e-11	-1.75916e-05
1.32782e+01	2.47602e-06	1.22614e-11	-1.74268e-05
1.32905e+01	2.44358e-06	1.19422e-11	-1.72635e-05
1.33029e+01	2.41156e-06	1.16313e-11	-1.71018e-05
1.33152e+01	2.37997e-06	1.13285e-11	-1.69416e-05
1.33276e+01	2.34879e-06	1.10336e-11	-1.67830e-05
1.33399e+01	2.31801e-06	1.07464e-11	-1.66258e-05
1.33523e+01	2.28764e-06	1.04666e-11	-1.64701e-05
1.33646e+01	2.25767e-06	1.01941e-11	-1.63159e-05
1.33770e+01	2.22809e-06	9.92874e-12	-1.61631e-05
1.33893e+01	2.19889e-06	9.67027e-12	-1.60117e-05
1.34017e+01	2.17008e-06	9.41853e-12	-1.58618e-05
1.34140e+01	2.14165e-06	9.17334e-12	-1.57133e-05
1.34264e+01	2.11359e-06	8.93453e-12	-1.55662e-05
1.34387e+01	2.08590e-06	8.70194e-12	-1.54205e-05
1.34511e+01	2.05857e-06	8.47540e-12	-1.52762e-05
1.34634e+01	2.03160e-06	8.25477e-12	-1.51332e-05
1.34758e+01	2.00498e-06	8.03987e-12	-1.49916e-05
1.34881e+01	1.97871e-06	7.83057e-12	-1.48513e-05
1.35005e+01	1.95278e-06	7.62672e-12	-1.47123e-05
1.35128e+01	1.92720e-06	7.42818e-12	-1.45746e-05
1.35252e+01	1.90195e-06	7.23480e-12	-1.44382e-05
1.35375e+01	1.87703e-06	7.04646e-12	-1.43031e-05
1.35499e+01	1.85243e-06	6.86302e-12	-1.41693e-05
1.35623e+01	1.82816e-06	6.68436e-12	-1.40368e-05
1.35746e+01	1.80421e-06	6.51035e-12	-1.39054e-05
1.35870e+01	1.78057e-06	6.34086e-12	-1.37754e-05
1.35993e+01	1.75724e-06	6.17579e-12	-1.36465e-05
1.36117e+01	1.73422e-06	6.01502e-12	-1.35189e-05
1.36240e+01	1.71150e-06	5.85843e-12	-1.33924e-05
1.36364e+01	1.68907e-06	5.70592e-12	-1.32672e-05
1.36487e+01	1.66694e-06	5.55738e-12	-1.31431e-05
1.36611e+01	1.64510e-06	5.41271e-12	-1.30202e-05
1.36734e+01	1.62355e-06	5.27180e-12	-1.28985e-05
1.36858e+01	1.60227e-06	5.13456e-12	-1.27779e-05
1.36981e+01	1.58128e-06	5.00089e-12	-1.26584e-05
1.37105e+01	1.56056e-06	4.87071e-12	-1.25401e-05
1.37228e+01	1.54012e-06	4.74391e-12	-1.24228e-05
1.37352e+01	1.51994e-06	4.62041e-12	-1.23067e-05
1.37475e+01	1.50002e-06	4.50013e-12	-1.21917e-05
1.37599e+01	1.48037e-06	4.38298e-12	-1.20777e-05
1.37722e+01	1.46097e-06	4.26888e-12	-1.19648e-05
1.37846e+01	1.44183e-06	4.15775e-12	-1.18530e-05
1.37969e+01	1.42294e-06	4.04951e-12	-1.17422e-05
1.38093e+01	1.40430e-06	3.94409e-12	-1.16325e-05
1.38216e+01	1.38590e-06	3.84141e-12	-1.15238e-05
1.38340e+01	1.36774e-06	3.74141e-12	-1.14162e-05
1.38463e+01	1.34982e-06	3.64401e-12	-1.13095e-05
1.38587e+01	1.33213e-06	3.54915e-12	-1.12038e-05
1.38710e+01	1.31468e-06	3.45675e-12	-1.10992e-05
1.38834e+01	1.29745e-06	3.36677e-12	-1.09955e-05
1.38958e+01	1.28045e-06	3.27912e-12	-1.08928e-05
1.39081e+01	1.26368e-06	3.19375e-12	-1.07910e-05
1.39205e+01	1.24712e-06	3.11061e-12	-1.06902e-05
1.39328e+01	1.23078e-06	3.02963e-12	-1.05904e-05
1.39452e+01	1.21465e-06	2.95076e-12	-1.04915e-05
1.39575e+01	1.19874e-06	2.87395e-12	-1.03935e-05
1.39699e+01	1.18303e-06	2.79913e-12	-1.02965e-05
1.39822e+01	1.16753e-06	2.72626e-12	-1.02003e-05
1.39946e+01	1.15223e-06	2.65529e-12	-1.01051e-05
1.40069e+01	1.13714e-06	2.58617e-12	-1.00107e-05
1.40193e+01	1.12224e-06	2.51884e-12	-9.91729e-06
1.40316e+01	1.10754e-06	2.45327e-12	-9.82471e-06
1.40440e+01	1.09302e-06	2.38940e-12	-9.73299e-06
1.40563e+01	1.07870e-06	2.32720e-12	-9.64214e-06
1.40687e+01	1.06457e-06	2.26662e-12	-9.55215e-06
1.40810e+01	1.05062e-06	2.20761e-12	-9.46299e-06
1.40934e+01	1.03686e-06	2.15014e-12	-9.37468e-06
1.41057e+01	1.02327e-06	2.09417e-12	-9.28719e-06
1.41181e+01	1.00986e-06	2.03965e-12	-9.20052e-06
1.41304e+01	9.96632e-07	1.98655e-12	-9.11467e-06
1.41428e+01	9.83574e-07	1.93483e-12	-9.02963e-06
1.41551e+01	9.70687e-07	1.88447e-12	-8.94538e-06
1.41675e+01	9.57969e-07	1.83541e-12	-8.86192e-06
1.41798e+01	9.45417e-07	1.78763e-12	-8.77924e-06
1.41922e+01	9.33030e-07	1.74109e-12	-8.69735e-06
1.42045e+01	9.20805e-07	1.69576e-12	-8.61621e-06
1.42169e+01	9.08741e-07	1.65162e-12	-8.53585e-06
1.42292e+01	8.96834e-07	1.60862e-12	-8.45623e-06
1.42416e+01	8.85084e-07	1.56675e-12	-8.37736e-06
1.42540e+01	8.73487e-07	1.52596e-12	-8.29923e-06
1.42663e+01	8.62042e-07	1.48623e-12	-8.22183e-06
1.42787e+01	8.50748e-07	1.44754e-12	-8.14516e-06
1.42910e+01	8.39601e-07	1.40986e-12	-8.06921e-06
1.43034e+01	8.28600e-07	1.37316e-12	-7.99397e-06
1.43157e+01	8.17744e-07	1.33741e-12	-7.91944e-06
1.43281e+01	8.07029e-07	1.30259e-12	-7.84560e-06
1.43404e+01	7.96456e-07	1.26868e-12	-7.77246e-06
1.43528e+01	7.86020e-07	1.23566e-12	-7.70000e-06
1.43651e+01	7.75722e-07	1.20349e-12	-7.62823e-06
1.43775e+01	7.65558e-07	1.17216e-12	-7.55712e-06
1.43898e+01	7.55527e-07	1.14164e-12	-7.48668e-06
1.44022e+01	7.45628e-07	1.11192e-12	-7.41690e-06
1.44145e+01	7.35859e-07	1.08298e-12	-7.34778e-06
1.44269e+01	7.26217e-07	1.05478e-12	-7.27930e-06
1.44392e+01	7.16702e-07	1.02732e-12	-7.21147e-06
1.44516e+01	7.07312e-07	1.00058e-12	-7.14427e-06
1.44639e+01	6.98044e-07	9.74532e-13	-7.07770e-06
1.44763e+01	6.88899e-07	9.49162e-13	-7.01175e-06
1.44886e+01	6.79872e-07	9.24453e-13	-6.94642e-06
1.45010e+01	6.70965e-07	9.00387e-13	-6.88171e-06
1.45133e+01	6.62173e-07	8.76947e-13	-6.81760e-06
1.45257e+01	6.53497e-07	8.54118e-13	-6.75409e-06
1.45380e+01	6.44935e-07	8.31883e-13	-6.69117e-06
1.45504e+01	6.36485e-07	8.10226e-13	-6.62885e-06
1.45627e+01	6.28146e-07	7.89134e-13	-6.56711e-06
1.45751e+01	6.19915e-07	7.68590e-13	-6.50594e-06
1.45875e+01	6.11793e-07	7.48582e-13	-6.44535e-06
1.45998e+01	6.03777e-07	7.29094e-13	-6.38533e-06
1.46122e+01	5.95866e-07	7.10114e-13	-6.32587e-06
1.46245e+01	5.88059e-07	6.91627e-13	-6.26696e-06
1.46369e+01	5.80354e-07	6.73622e-13	-6.20861e-06
1.46492e+01	5.72750e-07	6.56086e-13	-6.15080e-06
1.46616e+01	5.65246e-07	6.39006e-13	-6.09354e-06
1.46739e+01	5.57840e-07	6.22371e-13	-6.03681e-06
1.46863e+01	5.50531e-07	6.06169e-13	-5.98061e-06
1.46986e+01	5.43318e-07	5.90389e-13	-5.92493e-06
1.47110e+01	5.36199e-07	5.75019e-13	-5.86978e-06
1.47233e+01	5.29174e-07	5.60050e-13	-5.81515e-06
1.47357e+01	5.22240e-07	5.45470e-13	-5.76102e-06
1.47480e+01	5.15398e-07	5.31270e-13	-5.70740e-06
1.47604e+01	5.08645e-07	5.17439e-13	-5.65429e-06
1.47727e+01	5.01981e-07	5.03969e-13	-5.60167e-06
1.47851e+01	4.95403e-07	4.90849e-13	-5.54954e-06
1.47974e+01	4.88913e-07	4.78071e-13	-5.49790e-06
1.48098e+01	4.82507e-07	4.65625e-13	-5.44674e-06
1.48221e+01	4.76185e-07	4.53504e-13	-5.39607e-06
1.48345e+01	4.69946e-07	4.41698e-13	-5.34586e-06
1.48468e+01	4.63788e-07	4.30199e-13	-5.29613e-06
1.48592e+01	4.57712e-07	4.19000e-13	-5.24686e-06
1.48715e+01	4.51715e-07	4.08092e-13	-5.19805e-06
1.48839e+01	4.45796e-07	3.97468e-13	-5.14970e-06
1.48962e+01	4.39955e-07	3.87121e-13	-5.10180e-06
1.49086e+01	4.34191e-07	3.77043e-13	-5.05434e-06
1.49209e+01	4.28502e-07	3.67228e-13	-5.00734e-06
1.49333e+01	4.22888e-07	3.57668e-13	-4.96077e-06
1.49457e+01	4.17347e-07	3.48357e-13	-4.91463e-06
1.49580e+01	4.11879e-07	3.39288e-13	-4.86893e-06
1.49704e+01	4.06482e-07	3.30455e-13	-4.82366e-06
1.49827e+01	4.01156e-07	3.21853e-13	-4.77880e-06
1.49951e+01	3.95900e-07	3.13474e-13	-4.73437e-06
1.50074e+01	3.90713e-07	3.05313e-13	-4.69035e-06
1.50198e+01	3.85594e-07	2.97365e-13	-4.64675e-06
1.50321e+01	3.80542e-07	2.89624e-13	-4.60355e-06
1.50445e+01	3.75556e-07	2.82084e-13	-4.56075e-06
1.50568e+01	3.70635e-07	2.74740e-13	-4.51836e-06
1.50692e+01	3.65779e-07	2.67588e-13	-4.47636e-06
1.50815e+01	3.60986e-07	2.60622e-13	-4.43475e-06
1.50939e+01	3.56256e-07	2.53837e-13	-4.39353e-06
1.51062e+01	3.51589e-07	2.47229e-13	-4.35270e-06
1.51186e+01	3.46982e-07	2.40793e-13	-4.31225e-06
1.51309e+01	3.42436e-07	2.34525e-13	-4.27217e-06
1.51433e+01	3.37949e-07	2.28419e-13	-4.23247e-06
1.51556e+01	3.33521e-07	2.22473e-13	-4.19314e-06
1.51680e+01	3.29151e-07	2.16681e-13	-4.15418e-06
1.51803e+01	3.24839e-07	2.11040e-13	-4.11558e-06
1.51927e+01	3.20583e-07	2.05546e-13	-4.07735e-06
1.52050e+01	3.16382e-07	2.00195e-13	-4.03947e-06
1.52174e+01	3.12237e-07	1.94984e-13	-4.00194e-06
1.52297e+01	3.08146e-07	1.89908e-13	-3.96476e-06
1.52421e+01	3.04108e-07	1.84964e-13	-3.92794e-06
1.52544e+01	3.00124e-07	1.80149e-13	-3.89145e-06
1.52668e+01	2.96192e-07	1.75459e-13	-3.85531e-06
1.52792e+01	2.92311e-07	1.70891e-13	-3.81950e-06
1.52915e+01	2.88481e-07	1.66442e-13	-3.78402e-06
1.53039e+01	2.84701e-07	1.62109e-13	-3.74888e-06
1.53162e+01	2.80971e-07	1.57889e-13	-3.71407e-06
1.53286e+01	2.77290e-07	1.53779e-13	-3.67958e-06
1.53409e+01	2.73656e-07	1.49776e-13	-3.64541e-06
1.53533e+01	2.70071e-07	1.45877e-13	-3.61156e-06
1.53656e+01	2.66532e-07	1.42079e-13	-3.57803e-06
1.53780e+01	2.63040e-07	1.38380e-13	-3.54481e-06
1.53903e+01	2.59594e-07	1.34778e-13	-3.51190e-06
1.54027e+01	2.56192e-07	1.31269e-13	-3.47930e-06
1.54150e+01	2.52836e-07	1.27852e-13	-3.44700e-06
1.54274e+01	2.49523e-07	1.24523e-13	-3.41500e-06
1.54397e+01	2.46254e-07	1.21282e-13	-3.38330e-06
1.54521e+01	2.43027e-07	1.18124e-13	-3.35190e-06
1.54644e+01	2.39843e-07	1.15049e-13	-3.32079e-06
1.54768e+01	2.36701e-07	1.12054e-13	-3.28997e-06
1.54891e+01	2.33599e-07	1.09137e-13	-3.25944e-06
1.55015e+01	2.30539e-07	1.06296e-13	-3.22919e-06
1.55138e+01	2.27518e-07	1.03529e-13	-3.19922e-06
1.55262e+01	2.24537e-07	1.00834e-13	-3.16954e-06
1.55385e+01	2.21595e-07	9.82087e-14	-3.14013e-06
1.55509e+01	2.18692e-07	9.56520e-14	-3.11099e-06
1.55632e+01	2.15826e-07	9.31619e-14	-3.08213e-06
1.55756e+01	2.12998e-07	9.07366e-14	-3.05353e-06
1.55879e+01	2.10208e-07	8.83745e-14	-3.02520e-06
1.56003e+01	2.07453e-07	8.60739e-14	-2.99714e-06
1.56126e+01	2.04735e-07	8.38331e-14	-2.96934e-06
1.56250e+01	2.02053e-07	8.16507e-14	-2.94179e-06
1.56374e+01	1.99405e-07	7.95251e-14	-2.91451e-06
1.56497e+01	1.96793e-07	7.74548e-14	-2.88747e-06
1.56621e+01	1.94214e-07	7.54384e-14	-2.86069e-06
1.56744e+01	1.91670e-07	7.34746e-14	-2.83416e-06
1.56868e+01	1.89158e-07	7.15618e-14	-2.80788e-06
1.56991e+01	1.86680e-07	6.96988e-14	-2.78184e-06
1.57115e+01	1.84234e-07	6.78844e-14	-2.75604e-06
1.57238e+01	1.81820e-07	6.61171e-14	-2.73049e-06
1.57362e+01	1.79438e-07	6.43959e-14	-2.70517e-06
1.57485e+01	1.77087e-07	6.27195e-14	-2.68009e-06
1.57609e+01	1.74767e-07	6.10867e-14	-2.65524e-06
1.57732e+01	1.72477e-07	5.94965e-14	-2.63062e-06
1.57856e+01	1.70217e-07	5.79476e-14	-2.60623e-06
1.57979e+01	1.67987e-07	5.64391e-14	-2.58207e-06
1.58103e+01	1.65786e-07	5.49698e-14	-2.55814e-06
1.58226e+01	1.63614e-07	5.35388e-14	-2.53442e-06
1.58350e+01	1.61470e-07	5.21450e-14	-2.51093e-06
1.58473e+01	1.59354e-07	5.07875e-14	-2.48766e-06
1.58597e+01	1.57266e-07	4.94654e-14	-2.46460e-06
1.58720e+01	1.55206e-07	4.81776e-14	-2.44176e-06
1.58844e+01	1.53172e-07	4.69234e-14	-2.41913e-06
1.58967e+01	1.51165e-07	4.57019e-14	-2.39671e-06
1.59091e+01	1.49185e-07	4.45121e-14	-2.37451e-06
1.59214e+01	1.47230e-07	4.33533e-14	-2.35250e-06
1.59338e+01	1.45301e-07	4.22247e-14	-2.33070e-06
1.59461e+01	1.43397e-07	4.11255e-14	-2.30911e-06
1.59585e+01	1.41518e-07	4.00549e-14	-2.28772e-06
1.59708e+01	1.39664e-07	3.90121e-14	-2.26652e-06
1.59832e+01	1.37834e-07	3.79965e-14	-2.24552e-06
1.59956e+01	1.36028e-07	3.70074e-14	-2.22472e-06
1.60079e+01	1.34246e-07	3.60440e-14	-2.20411e-06
1.60203e+01	1.32487e-07	3.51056e-14	-2.18369e-06
1.60326e+01	1.30751e-07	3.41917e-14	-2.16347e-06
1.60450e+01	1.29038e-07	3.33016e-14	-2.14343e-06
1.60573e+01	1.27347e-07	3.24347e-14	-2.12358e-06
1.60697e+01	1.25679e-07	3.15903e-14	-2.10391e-06
1.60820e+01	1.24032e-07	3.07679e-14	-2.08442e-06
1.60944e+01	1.22407e-07	2.99669e-14	-2.06512e-06
1.61067e+01	1.20803e-07	2.91868e-14	-2.04600e-06
1.61191e+01	1.19220e-07	2.84270e-14	-2.02705e-06
1.61314e+01	1.17658e-07	2.76870e-14	-2.00828e-06
1.61438e+01	1.16117e-07	2.69662e-14	-1.98969e-06
1.61561e+01	1.14595e-07	2.62642e-14	-1.97126e-06
1.61685e+01	1.13094e-07	2.55804e-14	-1.95301e-06
1.61808e+01	1.11612e-07	2.49145e-14	-1.93493e-06
1.61932e+01	1.10150e-07	2.42659e-14	-1.91702e-06
1.62055e+01	1.08706e-07	2.36342e-14	-1.89927e-06
1.62179e+01	1.07282e-07	2.30189e-14	-1.88169e-06
1.62302e+01	1.05877e-07	2.24197e-14	-1.86427e-06
1.62426e+01	1.04489e-07	2.18360e-14	-1.84702e-06
1.62549e+01	1.03120e-07	2.12676e-14	-1.82992e-06
1.62673e+01	1.01769e-07	2.07139e-14	-1.81299e-06
1.62796e+01	1.00436e-07	2.01747e-14	-1.79621e-06
1.62920e+01	9.91198e-08	1.96495e-14	-1.77958e-06
1.63043e+01	9.78211e-08	1.91379e-14	-1.76311e-06
1.63167e+01	9.65394e-08	1.86397e-14	-1.74680e-06
1.63291e+01	9.52745e-08	1.81545e-14	-1.73064e-06
1.63414e+01	9.40262e-08	1.76819e-14	-1.71462e-06
1.63538e+01	9.27942e-08	1.72215e-14	-1.69876e-06
1.63661e+01	9.15784e-08	1.67732e-14	-1.68304e-06
1.63785e+01	9.03785e-08	1.63366e-14	-1.66747e-06
1.63908e+01	8.91944e-08	1.59113e-14	-1.65204e-06
1.64032e+01	8.80257e-08	1.54971e-14	-1.63676e-06
1.64155e+01	8.68724e-08	1.50936e-14	-1.62162e-06
1.64279e+01	8.57342e-08	1.47007e-14	-1.60662e-06
1.64402e+01	8.46108e-08	1.43180e-14	-1.59175e-06
1.64526e+01	8.35022e-08	1.39452e-14	-1.57703e-06
1.64649e+01	8.24082e-08	1.35822e-14	-1.56244e-06
1.64773e+01	8.13284e-08	1.32286e-14	-1.54799e-06
1.64896e+01	8.02628e-08	1.28842e-14	-1.53368e-06
1.65020e+01	7.92112e-08	1.25488e-14	-1.51949e-06
1.65143e+01	7.81734e-08	1.22222e-14	-1.50544e-06
1.65267e+01	7.71491e-08	1.19040e-14	-1.49152e-06
1.65390e+01	7.61383e-08	1.15941e-14	-1.47773e-06
1.65514e+01	7.51407e-08	1.12922e-14	-1.46406e-06
1.65637e+01	7.41562e-08	1.09983e-14	-1.45053e-06
1.65761e+01	7.31846e-08	1.07120e-14	-1.43711e-06
1.65884e+01	7.22257e-08	1.04331e-14	-1.42383e-06
1.66008e+01	7.12794e-08	1.01615e-14	-1.41066e-06
1.66131e+01	7.03454e-08	9.89696e-15	-1.39762e-06
1.66255e+01	6.94237e-08	9.63931e-15	-1.38470e-06
1.66378e+01	6.85141e-08	9.38837e-15	-1.37190e-06
1.66502e+01	6.76164e-08	9.14397e-15	-1.35922e-06
1.66625e+01	6.67305e-08	8.90592e-15	-1.34666e-06
1.66749e+01	6.58562e-08	8.67407e-15	-1.33421e-06
1.66873e+01	6.49933e-08	8.44826e-15	-1.32188e-06
1.66996e+01	6.41418e-08	8.22833e-15	-1.30966e-06
1.67120e+01	6.33014e-08	8.01412e-15	-1.29756e-06
1.67243e+01	6.24720e-08	7.80549e-15	-1.28556e-06
1.67367e+01	6.16534e-08	7.60229e-15	-1.27368e-06
1.67490e+01	6.08456e-08	7.40438e-15	-1.26191e-06
1.67614e+01	6.00484e-08	7.21162e-15	-1.25025e-06
1.67737e+01	5.92616e-08	7.02388e-15	-1.23870e-06
1.67861e+01	5.84852e-08	6.84103e-15	-1.22725e-06
1.67984e+01	5.77189e-08	6.66294e-15	-1.21592e-06
1.68108e+01	5.69626e-08	6.48948e-15	-1.20468e-06
1.68231e+01	5.62163e-08	6.32054e-15	-1.19355e-06
1.68355e+01	5.54797e-08	6.15600e-15	-1.18253e-06
1.68478e+01	5.47528e-08	5.99574e-15	-1.17160e-06
1.68602e+01	5.40354e-08	5.83965e-15	-1.16078e-06
1.68725e+01	5.33274e-08	5.68763e-15	-1.15006e-06
1.68849e+01	5.26287e-08	5.53957e-15	-1.13943e-06
1.68972e+01	5.19392e-08	5.39535e-15	-1.12891e-06
1.69096e+01	5.12586e-08	5.25490e-15	-1.11848e-06
1.69219e+01	5.05870e-08	5.11810e-15	-1.10815e-06
1.69343e+01	4.99242e-08	4.98486e-15	-1.09792e-06
1.69466e+01	4.92701e-08	4.85509e-15	-1.08778e-06
1.69590e+01	4.86246e-08	4.72869e-15	-1.07773e-06
1.69713e+01	4.79875e-08	4.60559e-15	-1.06778e-06
1.69837e+01	4.73587e-08	4.48570e-15	-1.05792e-06
1.69960e+01	4.67382e-08	4.36892e-15	-1.04815e-06
1.70084e+01	4.61258e-08	4.25518e-15	-1.03847e-06
1.70208e+01	4.55215e-08	4.14441e-15	-1.02888e-06
1.70331e+01	4.49250e-08	4.03652e-15	-1.01938e-06
1.70455e+01	4.43364e-08	3.93144e-15	-1.00997e-06
1.70578e+01	4.37555e-08	3.82909e-15	-1.00065e-06
1.70702e+01	4.31822e-08	3.72941e-15	-9.91411e-07
1.70825e+01	4.26164e-08	3.63232e-15	-9.82259e-07
1.70949e+01	4.20580e-08	3.53776e-15	-9.73192e-07
1.71072e+01	4.15070e-08	3.44566e-15	-9.64208e-07
1.71196e+01	4.09632e-08	3.35596e-15	-9.55308e-07
1.71319e+01	4.04264e-08	3.26859e-15	-9.46491e-07
1.71443e+01	3.98968e-08	3.18350e-15	-9.37755e-07
1.71566e+01	3.93740e-08	3.10063e-15	-9.29100e-07
1.71690e+01	3.88581e-08	3.01991e-15	-9.20525e-07
1.71813e+01	3.83490e-08	2.94129e-15	-9.12030e-07
1.71937e+01	3.78465e-08	2.86472e-15	-9.03614e-07
1.72060e+01	3.73507e-08	2.79014e-15	-8.95275e-07
1.72184e+01	3.68613e-08	2.71751e-15	-8.87014e-07
1.72307e+01	3.63783e-08	2.64676e-15	-8.78829e-07
1.72431e+01	3.59017e-08	2.57786e-15	-8.70720e-07
1.72554e+01	3.54313e-08	2.51075e-15	-8.62686e-07
1.72678e+01	3.49670e-08	2.44539e-15	-8.54727e-07
1.72801e+01	3.45089e-08	2.38173e-15	-8.46841e-07
1.72925e+01	3.40568e-08	2.31972e-15	-8.39029e-07
1.73048e+01	3.36105e-08	2.25934e-15	-8.31289e-07
1.73172e+01	3.31702e-08	2.20052e-15	-8.23620e-07
1.73295e+01	3.27356e-08	2.14323e-15	-8.16022e-07
1.73419e+01	3.23066e-08	2.08744e-15	-8.08495e-07
1.73542e+01	3.18833e-08	2.03310e-15	-8.01038e-07
1.73666e+01	3.14656e-08	1.98017e-15	-7.93649e-07
1.73790e+01	3.10533e-08	1.92862e-15	-7.86329e-07
1.73913e+01	3.06465e-08	1.87841e-15	-7.79077e-07
1.74037e+01	3.02449e-08	1.82951e-15	-7.71892e-07
1.74160e+01	2.98486e-08	1.78188e-15	-7.64773e-07
1.74284e+01	2.94576e-08	1.73550e-15	-7.57721e-07
1.74407e+01	2.90716e-08	1.69032e-15	-7.50733e-07
1.74531e+01	2.86907e-08	1.64631e-15	-7.43811e-07
1.74654e+01	2.83148e-08	1.60345e-15	-7.36952e-07
1.74778e+01	2.79438e-08	1.56171e-15	-7.30157e-07
1.74901e+01	2.75777e-08	1.52105e-15	-7.23425e-07
1.75025e+01	2.72163e-08	1.48146e-15	-7.16755e-07
1.75148e+01	2.68597e-08	1.44289e-15	-7.10146e-07
1.75272e+01	2.65078e-08	1.40533e-15	-7.03599e-07
1.75395e+01	2.61605e-08	1.36874e-15	-6.97113e-07
1.75519e+01	2.58177e-08	1.33311e-15	-6.90687e-07
1.75642e+01	2.54795e-08	1.29841e-15	-6.84320e-07
1.75766e+01	2.51456e-08	1.26460e-15	-6.78012e-07
1.75889e+01	2.48162e-08	1.23168e-15	-6.71762e-07
1.76013e+01	2.44910e-08	1.19962e-15	-6.65570e-07
1.76136e+01	2.41701e-08	1.16839e-15	-6.59435e-07
1.76260e+01	2.38534e-08	1.13797e-15	-6.53358e-07
1.76383e+01	2.35409e-08	1.10835e-15	-6.47336e-07
1.76507e+01	2.32325e-08	1.07949e-15	-6.41370e-07
1.76630e+01	2.29281e-08	1.05139e-15	-6.35460e-07
1.76754e+01	2.26276e-08	1.02402e-15	-6.29604e-07
1.76877e+01	2.23312e-08	9.97362e-16	-6.23802e-07
1.77001e+01	2.20386e-08	9.71398e-16	-6.18054e-07
1.77125e+01	2.17498e-08	9.46110e-16	-6.12359e-07
1.77248e+01	2.14649e-08	9.21480e-16	-6.06716e-07
1.77372e+01	2.11836e-08	8.97491e-16	-6.01126e-07
1.77495e+01	2.09061e-08	8.74126e-16	-5.95588e-07
1.77619e+01	2.06321e-08	8.51370e-16	-5.90101e-07
1.77742e+01	2.03618e-08	8.29207e-16	-5.84664e-07
1.77866e+01	2.00950e-08	8.07620e-16	-5.79278e-07
1.77989e+01	1.98317e-08	7.86595e-16	-5.73941e-07
1.78113e+01	1.95719e-08	7.66118e-16	-5.68654e-07
1.78236e+01	1.93155e-08	7.46174e-16	-5.63416e-07
1.78360e+01	1.90624e-08	7.26748e-16	-5.58226e-07
1.78483e+01	1.88126e-08	7.07829e-16	-5.53085e-07
1.78607e+01	1.85661e-08	6.89402e-16	-5.47990e-07
1.78730e+01	1.83229e-08	6.71455e-16	-5.42943e-07
1.78854e+01	1.80828e-08	6.53975e-16	-5.37943e-07
1.78977e+01	1.78459e-08	6.36950e-16	-5.32989e-07
1.79101e+01	1.76120e-08	6.20368e-16	-5.28080e-07
1.79224e+01	1.73813e-08	6.04218e-16	-5.23217e-07
1.79348e+01	1.71536e-08	5.88489e-16	-5.18399e-07
1.79471e+01	1.69288e-08	5.73169e-16	-5.13625e-07
1.79595e+01	1.67070e-08	5.58247e-16	-5.08896e-07
1.79718e+01	1.64881e-08	5.43715e-16	-5.04210e-07
1.79842e+01	1.62721e-08	5.29560e-16	-4.99568e-07
1.79965e+01	1.60589e-08	5.15774e-16	-4.94968e-07
1.80089e+01	1.58485e-08	5.02347e-16	-4.90411e-07
1.80212e+01	1.56408e-08	4.89269e-16	-4.85896e-07
1.80336e+01	1.54359e-08	4.76532e-16	-4.81423e-07
1.80459e+01	1.52336e-08	4.64127e-16	-4.76991e-07
1.80583e+01	1.50340e-08	4.52044e-16	-4.72600e-07
1.80707e+01	1.48370e-08	4.40276e-16	-4.68249e-07
1.80830e+01	1.46427e-08	4.28814e-16	-4.63939e-07
1.80954e+01	1.44508e-08	4.17651e-16	-4.59669e-07
1.81077e+01	1.42615e-08	4.06778e-16	-4.55438e-07
